day,hour_bin,lga,sky,scaled_ambulance,scaled_police
Friday,Morning,CENTRAL GOLDFIELDS,Clear,0.0027909626427496006,0.0013954813213748003
Friday,Morning,COLAC OTWAY,Clear,0.009768369249623602,0.008372887928248801
Friday,Morning,COLAC OTWAY,Not clear,0.009947890860435113,0.009947890860435113
Friday,Morning,CORANGAMITE,Clear,0.005581925285499201,0.005581925285499201
Friday,Morning,DANDENONG,Clear,0.08791532324661243,0.07116954739011482
Friday,Morning,DANDENONG,Not clear,0.049739454302175565,0.034817618011522895
Friday,Morning,DAREBIN,Clear,0.055819252854992014,0.03907347699849441
Friday,Morning,DAREBIN,Not clear,0.034817618011522895,0.02984367258130534
Friday,Morning,EAST GIPPSLAND,Clear,0.026514145106121205,0.023723182463371607
Friday,Morning,EAST GIPPSLAND,Not clear,0.024869727151087782,0.024869727151087782
Friday,Morning,FRANKSTON,Clear,0.020932219820622006,0.019536738499247204
Friday,Morning,FRANKSTON,Not clear,0.01492183629065267,0.01492183629065267
Friday,Morning,GANNAWARRA,Clear,0.0013954813213748003,0.0013954813213748003
Friday,Morning,GEELONG,Clear,0.07814695399698882,0.06419214078324081
Friday,Morning,GEELONG,Not clear,0.05968734516261068,0.05968734516261068
Friday,Morning,GLEN EIRA,Clear,0.048841846248118014,0.033491551712995206
Friday,Morning,GLEN EIRA,Not clear,0.009947890860435113,0.009947890860435113
Friday,Morning,GLENELG,Clear,0.0027909626427496006,0.0027909626427496006
Friday,Morning,GOLDEN PLAINS,Clear,0.0013954813213748003,0.0013954813213748003
Friday,Morning,GOLDEN PLAINS,Not clear,0.0049739454302175565,0.0
Friday,Morning,HEPBURN,Clear,0.005581925285499201,0.004186443964124401
Friday,Morning,HEPBURN,Not clear,0.009947890860435113,0.009947890860435113
Friday,Morning,HINDMARSH,Clear,0.0027909626427496006,0.0027909626427496006
Friday,Morning,HOBSONS BAY,Clear,0.020932219820622006,0.018141257177872405
Friday,Morning,HORSHAM,Clear,0.011163850570998403,0.009768369249623602
Friday,Morning,HORSHAM,Not clear,0.0049739454302175565,0.0049739454302175565
Friday,Morning,HUME,Clear,0.06977406606874002,0.055819252854992014
Friday,Morning,HUME,Not clear,0.03979156344174045,0.03979156344174045
Friday,Morning,INDIGO,Clear,0.009768369249623602,0.008372887928248801
Friday,Morning,INDIGO,Not clear,0.01492183629065267,0.01492183629065267
Friday,Morning,KINGSTON,Clear,0.06279665946186602,0.048841846248118014
Friday,Morning,KINGSTON,Not clear,0.019895781720870226,0.01492183629065267
Friday,Morning,KNOX,Clear,0.04325992096261881,0.03767799567711961
Friday,Morning,KNOX,Not clear,0.03979156344174045,0.034817618011522895
Friday,Morning,LATROBE,Clear,0.019536738499247204,0.013954813213748004
Friday,Morning,LATROBE,Not clear,0.034817618011522895,0.019895781720870226
Friday,Morning,LODDON,Clear,0.0027909626427496006,0.0013954813213748003
